URL,University Name (Tab Title)
https://www.gujaratuniversity.ac.in/,Gujarat University
https://www.himtu.ac.in/,Himachal Pradesh Technical University
https://www.hindiuniv.ac.in/,Hindi University
https://www.hpnlu.ac.in/,Himachal Pradesh National Law University
https://www.igu.ac.in/,igu.ac.in | 521: Web server is down
https://www.iiit-bh.ac.in/,IIIT Bhubaneswar
https://www.iiitnr.ac.in/,Welcome to IIIT NAYA RAIPUR | IIIT NAYA RAIPUR
https://www.instagram.com/ugcindia/,UGC India (@ugcindia) • Instagram photos and videos
https://www.janapadauniversity.ac.in/,ಮುಖಪುಟ | ಕರ್ನಾಟಕ ಜಾನಪದ ವಿಶ್ವವಿದ್ಯಾಲಯ
https://www.jcboseust.ac.in/,"J.C. Bose University of Sciences and Technology, YMCA Faridabad"
https://www.kamdhenuuni.edu.in/,Home
https://www.kanyashreeuniversity.in/,Home | Kanyashree University
https://www.ksus.ac.in/,Khangchendzonga State University
https://www.kvafsu.edu.in/,"Welcome to Karnataka Veterinary, Animal and Fisheries University"
https://www.kvasu.ac.in/,Kerala Veterinary and animal Sciences University
https://www.luvas.edu.in/,Lala Lajpat Rai University of Veterinary & Animal Sciences (LUVAS)
https://www.mbm.ac.in/,MBM UNIVERSITY
https://www.mdurohtak.ac.in/,Privacy error
https://www.mguwb.org.in/,"Home | Mahatma Gandhi University, Purba Medinipur"
https://www.mhu.ac.in/,"Maharana Pratap Horticultural University, Karnal (MHU)"
https://www.mjpru.ac.in/,"Mahatma Jyotiba Phule Rohilkhand University, Bareilly"
https://www.mkbhavuni.edu.in/mkbhavuniweb/,Maharaja Krishnakumarsinhji Bhavnagar University
https://www.mnlua.ac.in/,MAHARASHTRA NATIONAL LAW UNIVERSITY - Chhatrapati Sambhajinagar
https://www.motherteresawomenuniv.ac.in/,Mother Teresa Women's University Kodaikanal
https://www.mpdnlu.ac.in/,Home
https://www.msubaroda.ac.in/,The Maharaja Sayajirao University of Baroda
https://www.msuniv.ac.in/,Manonmaniam Sundaranar University
https://www.mungeruniversity.ac.in/,:: Official Website | Munger University ::
https://www.muoc.ac.in/,Home | Majuli University of Culture
https://www.mvsu.ac.in/#/,MVSU
https://www.nduat.org/,Acharya Narendra Deva University of Agriculture and Technology
https://www.nlumeg.ac.in/,NLU Meghalaya - Excellence in Legal Education | Transforming Future Legal Professionals
https://www.nlunagpur.ac.in/,"National Law University, Nagpur"
https://www.nlutripura.ac.in/,"National Law University, Tripura | Agartala"
https://www.nowgongcollege.edu.in/,Nowgong College
https://www.nsut.ac.in/,Homepage | NSUT
https://www.nta.ac.in/,National Testing Agency
https://www.osmania.ac.in/,Osmania University
https://www.osou.ac.in/,"Odisha State Open University, Sambalpur"
https://www.oucwkoti.ac.in/,Veeranari Chakali Ilamma Women's University
https://www.ouhs.ac.in/,Odisha University of Health Sciences
